Filename,Transcription
KA_Mysore_38603473_0923480000_KTMFIM_308136.wav,MEANA MARE EMLY GIVIN MACA HILETE A PONDU AE GE DER YEN MOR AN TE THEGINDAR AN DENIDED THE ATAPTHON A KIN ME TIN DIK ONTONER OLD WOR GE LIP OONTE KIN BODO I DON LEAVE O TA CATIN DE AR MAR QATOTO GE ON DAT THEN THE HE GIN ASINTE PILAN DOO MARTE DOWN PAHELBOLO JOTHI ER GE A KIN PES PLOD WHERE WIN TO
BR_Supaul_Sach65432_1356420000_APVFIM_9778.wav,TIK ABOT TE VEY MUC RE MIDY DAAS YO KEEP OD FOO TINBO YE O YE WIT LO GO HE LO ALE DIL A A HESH E AT I TE AS MUCH LECOS HAD BITTER TAS A WE OFFER THOSE ARE ALONE AT MUCH LECO MAKIN A LA MAKILY IVRY IN HIM O
KA_Bijapur_48676891_1730420000_APCTCOS_162712.wav,N WHO DO ANY GILLAFAMOR O TA A TO IS NETHEIN THE CURVALA ANFE NAMURE BRRA BES TIT AT AGAIN MORTOPUNDER ATIN IT IS HIGHCOTO THE CONTANTE CELL US A THE PUNDER DET TO A CACKL IT THE CONDESSORAGULE PUA AND A LOTT A GLIN ONET UPON OF JACKOL NO COM BY TEENO POPUNDER CHACULECO EN METE BY CAHNO BITO ALL HON TE OTEN TISSER O IAON CRA A EETHING MORE UPON TH HER O
BR_Gaya_Raus71836_0608020000_BHJHGS_128024.wav,YOU'RE E G LOKON HEH DE SIKY OF DEXACTA YE GIT ON O LOOKON HET HIS GON O I SHILY BES NUKED ONER AND GENDELLERSTOOD NOW BOTH SIDE SOM BAD MLTIN ALL HIS KED BUGGLE MAY BE E  GOKON DE CNIKO MILDERHIGH JESSIKY UP HIS FORTON MAT DE EXFECTINEN IS DO CONME BO SA THE TOTA THERACKI SOMBONY MILTINHAN
KA_Mysore_51706558_1432420000_UPVNCH_9577.wav,NOW MA CUST YOU NO NOW PRATE OR SA CHRISTMAS KE WI DO YO NORA CAT YER TO BA A LAN GA RO MATY THRE MO WOGIN IN THE NORDA GALI FATHER RULLER CAN MAGGA PAR MAGTY TOTO TAA YEAR THRET NO OTER MOG NUMDER MON EM GET I DONWOGI THENOLTHO KERTY BE INE TRAIN TERTA CARI WHIC YOU PUT ON BUT YOU I T
BR_Sitamarhi_Prak96937_0814370000_IMG202257.wav,YIS IMAGINAME WHAT WOROUT WAT YOU SON THU A GRUSRESTO DECLARE TISCONEMEMBO THATE GOULD OF TO TIKITIJENDE CADERA YE O BOOKFIRI FU MAN AN OTE LAKERAKICI DERAKII A JOKIVE HER KI CON MER I KIJATI HE THE TOLA PERMECO SHUKI A GOT ME TE CRI JOKI I DECOLAR CASAR PED O WONHIN
UP_Deoria_Ajay34538_1117180000_CGBTFT_85892.wav,NINTHE WID HAGIT GINASNMA A TALRAR A FAEE I SLAGAKIE A LAL LAKI HAI BEHID LAGUA AGIC MUST LALA TALAGAR ABIHIN E MY GLOD I LADN JALE AND TASADISCODAS A OE R
KA_Bijapur_60448420_1344510000_JKJHE_370496.wav,YOU REALLY MEDICEL LAY MEDICEL TA COM TO POT E E COVENRIAN MEDICEL ON O ONE DAY TO MER STAN TE TE CONEANGAN PAN CO AND GOK OVER THEMORY ONDON MER MILL MELICAR LATON TILL OND ON THE AMEVE A THE ANGO WITHTI ONE MILICONSHOP WITH THE ATHE LOGAON AWE DOTA DOWN OF WIMIN CRUTANDRY ONLY YOU BUNDA LIKE YIM IN OLOT O COTAN
BR_Gopalgan_52867727_1129220000_BHVSBA_219555.wav,I CHITROME YODER CHARGEA HEGKY YER A SHORP HAIR O DISCONAMASPAR AND THE FALON HER BAL OR DARDY OR DO BAHAR FAVRE LALGALAGAHE OR BAR LIGHTING LIGHT LUGGY HAIR OR ISCAGGAGE TO SHAKE A HER
UP_Deoria_Dipu63050_0715130000_CGKDMT_32143.wav,GIVE PICH ME A BOOTO CALA BA TA AT ON A PAL WIT TAPI WAT GIV TOLOWOD PON YOU LI GIL WOD WON YOUA EAT O HAS MY WOLA CUTA FLUE I IS BUTIN UPON HIS SHICOK AT THE TAGAN YOU PICKI NAK ME OI M GOD MY DAH WOL PON O SHINIFE DECARTLY WHAT
KA_Mysore_Sinc56858_1044500000_KTMHIS_308276.wav,ATO TE NATURE NATURE LAWASTE LITE FOM MACO CHECO TA TARIACAN RENATURE IS THE MOST IMPORT AINT BECAUSE NATURED Y LONDE A WILANA WI LONTHER MATORILLA IT'S A GODMAID NATUREDLY NONODINA MILATA A TE ONACARCOBO DE NATURE NAMGI NOCCLE TO DE NTURED N OLD CONNIOBER THE TA BEBE ME TO GARLY BELE
TS_Nalgonda_Nand39549_1546260000_APATDAF_163686.wav,I CR O SOONER LATE I OUCUL DANCE GLASS I CRA A CRONA DANCE MASTER PILLAR ANDERICKY DANCE NEAR PIS SOONER I CROSOMARIGA IF IM A DEANER CHINAPILER ONDER CHUCKOER DANCE NCH COULDN DOONER I CRUNDER A DEMLA CHUSY DANCE WAY SOONER
KA_Mysore_01168147_1022310000_BHARBC_352009.wav,BOOKS TOWE BUT TO BRUE BOOFA SHEPAR TE OLL ALL HERE NO I AINT I NO UNE A OOKS TOE A YA WO BE NO WOLL IVER SHAIN IN A DA LITTE WALL A TO MY TAM A MO MA TOT I LIVE IM BUBOS TRUSWUTY THE WOLLDY I GE GLAN BEA GO LITTL TO E GOO BOOKS TODL A MIS BOOKS TOANTELLAR THO IM FORTER TE EPE O THE CALLAN COOLAN FO EVEE COVEINEN
BR_Araria_Bish68636_0825360000_BHARFM_352616.wav,LORD TETABOTTISON MOTIS NOR LAK ARADY OF A GASE BUT THIS ONE BAT BUR AT SA TE LRMAOFE ANBOTER BUT TES SO BUT  NOT I TAID ME CIPE THIN GOD OF ME
MH_Chandrap_Durg54494_0811190000_MRCTE_91457.wav,RITE ROK MI MOM AND DID THAT COLIL YOMAN DE GEN AN THE AM I TELOKO MY THINI WUL DEA LOOK GO THE CAN GE LALAT LANDOLITE
BR_Araria_Shib46790_0755100000_BHAROTHER_282469.wav,BUT TOL US ALL ATABOUT THA TA BUT DI FE MERNER AN TATI GOT AWARE BUT THE ARFAMLET A ANDANA A UT TRIED WITH NOOY A FUMLANCE
WB_DakshinD_Anku79872_0853310000_KTCMICC_300370.wav,E FOVIPS VASDUS ISIS A ALAR O M APPOMENTT AT PATHRE AT FUTCHILGO FOR JOHN MORLGE ARA IHAI LEFT I SUSPICIONTALIATINON ALIBASI ALENFRM CHILLE BERCADE BANIETI
KA_Mysore_86648015_1347400000_KTMLK_308527.wav,NA THE NADE AND THE ARIGI STAG AON THEY TAKI PLACE IN A LAM AND AT THE OLEGAR A MULIGA DOAI DARA ON THE LAGUKUSHI VAYO NO N NA DELI DAD WEKON THE LARGUKUSHIA GIT HIM A NOTTAVIN ON RE TICUSHI
UP_Deoria_Ajay34538_1124410000_CGBMEX_346518.wav,A HIS GOOD MY LIIN BEARTIIAN CAKITEERYBER TILIN YER BUT LAREKER WHO TOOK NO PATE YATE MAN WHICH MANARIDAAN TO SCOULTE OFME AH MA CALARA ABE SCOODI  GIVE ME TA MASCOI TO LEV SAY YE
KA_Bijapur_51191523_1111370000_KTBJWAF_315552.wav,NEDIGOO AE BA NARA UCI EDU TA ITARA GOCAC A GELPAT TA GELPATEGAL ET THAT I DID THAT A NAGIAN IRAN HAD GEA FOTOMISU A ON LINON TA THIS MAY A MUISIV TITOS NON WON WOD
KA_Mysore_92665542_1514130000_KTMRI_308858.wav,KERRI GETTIN NOT BATTER IN BETTER DON THE CARRIAGE YOU GET IN ON THE COK NELIKIRE A DIN HE GEILIN E WORKMAN O BE CAR A POTAN ON MOL PORFECILY DISTONPATELEN MIGITE THER I DAR I TO CONPMIOCEAN ONO MOR I DEITI MOS LELLEBLE TAN TEN TE E SUPER I DIN MOST TAING OTONBE BO BO TEOLINE SUPAR SAV AAN THE MOT REAL AN ADJUSTY THAT IN THE WORD OD OR GESULPA FIFTY AGREE INO FROMTISION I EE
UK_Uttarkashi_56458456_1707570000_UKUOF_159048.wav,ON PIKIN ATA YOU BURNIN A EORD THE BARTLE WI DASE DECA A GUARDED PETARTED BO TAT OF A HAREA WRA YECA AGURED PITARA BOS FROM TERDEVAR WARA YECA BERAGU GADEVI KARAACADO PATTLES FOM THA SIOD BART A DAT
MH_Chandrap_07154079_0403540000_TGNLRAS_14689.wav,SO DONTHY DRAMODE FLOED COM TOM DURING WHICH APPER CONTOSA YU TE DISUFFER HIM AND IN THE JO PUT TI OROON ENADENACARIFA LOGANNAN WHOO DONT FUL JOMM IS MENATAMARKE FAGLE LAIV AND IF THE GAP PORTRICTING THE SURFAIR N IN WODEN TREE RED WERS HI I WAR
BR_Araria_Joyt24015_0522430000_TGKMR_8303.wav,NATTE YO SET UP ON SEA LA E TI I WONL MOTLA MY OWN TAIL ALIMA MY DEAR DEA LETTY PONAPO GRAN TIT E CALA TARA TA WA AI
BR_Begusara_Sach51565_1408370000_APATGOB_245912.wav,TIF CORRY A LEGE OVR A GET PER WHULD YOODE ME CARAGER NO CARRY A LEK ARGUMENT WOUL YURE WOTER I HEEL AS COODY LEVELT
KA_Bijapur_19177433_1554080000_IMG_20220912_125107.wav,NOISNAITERA EVEN TO SICENAMAHAVI DELLA IVO DO NANA DEVALENTA PREVE IDUNORI DO NO BECADON TA SICTION APREVODO ITE INTA NAMA ANARIMRCOVODO ITANA DE MARCONDO NO A TWO TOMODONTON THE CELISTON PREVUDO NAMAGIANATO ON TA TUTOMOANTECELSAVE CONRE EVEN THOUGH EVEN THE VANEITE SICTION A HA TE LE CALTRENAMAAN PON TE NANAPODCONDOONDVOLER WHO DID THE PUT UP A E WODONTIHEDEI
KA_Bijapur_19177433_1545300000_KTBJMOT_139014.wav,YOU DO A BUTOLEN TEM WHEN VENGENIE AN NO O ACONDE E ON DO PIM FEDRE AND CONTRAIN UPON THA TITREGAA TIRELNODOAN THURSTRA THO COMBANIMEN A DINNCORTEDE MATO A'M GILARY A MONUTS TI GO  TAPPLON TEON DOR AND WHEN I VENGING A CRAVE TO ACONDA DE DERIN THAT I'M GA ON TE INOON DEMAN RENGE R GOINE TO GY YO B GOT BY ATHEY ONE TO WE SHAR ONLY A TWO O'CLO CRAVOU WO PILL TALL TON THEREDE
KA_Bijapur_91011064_1247110000_TGNLGS_51170.wav,YOU KNOW ME WELL A TIATALL  LER O MODER O I UD WALK TOT ABOUT I GET TO TANTY BOR YELLOW I ON A PUT ON  DO LEG TOR BELO MAS A LITTLE CER COVOTL WIDING ON THREE LER MIDWELL A TI TORM AND YO'M BELEVE PABE HARDLY FO ETO TAY HAD YOU RATHE LE TE TAKE A BUNDLE TO
WB_Purulia_Ranj00953_1719420000_BHGJPA_192350.wav,THE FOLISE WO CE BOATAAA ATE WOT IN DE GROTIC GEVOTHA  MO TE PROVERTE AN A E MO LETETHE PRITAMILI TEAGOF CYCULE AR AS FOR THE IGWRAFERAGOSIT
UP_Gorakhpur_Kart60562_1024410000_UPGPGT_37375.wav,YOR HA ECH THE SCHOOLGADRI CER BOKY CAMPIR GONG TO GOT A FOOLMAS YE TAR WELL CANT LET YOU WELL THE VESY BON TE FOONER THE SCHOOL ME BUT TE PANEKELIE YATI OR A THE APO PAHANIKIE T CHOOLMA TAT O FOTI MATAKA AFTER TI
BR_Gaya_09527738_1432390000_BHGJAUR_186629.wav,YO EXFILDE YO HAV POR BUTREVERE PAHADA PA THAT THEGE TELL AKI UP HISPE THE EXAC TER OR YOU HOUTH PORS AT TEM PU PATCA MILAGEWER OR YOHANGARIVIER OR CAI ABDMIVIHA BICRAN TER TIKY UP HIS FOTOMET THE EXACTHEN
CG_Bastar_64832910_0912190000_CGBTBR_174130.wav,I DEN MY KINA MOTTLA BARISK CASE O MY CI HO PAR MY PUT APON Y BURRGY AGGILY CARAS A BICKER I BA LITER PARDY ODER LOG BICE RAN HIM OR IS MAKA TIPIKARTE ON E SIRED PONYCOK INICA
KA_Mysore_13263538_1528540000_UPVNVEM_123211.wav,PITELY AN LAPARATHA TARACARIE DIDN'T SEE BUT THEY WHOON KNOW HE LATAA NO SIGATHIN MARKETE ON DO ON MARKET IN AT LEAST SICO THETO WAS TOELY IN LAUGH I WON O WHY TO DO MAT THEY BARLY I NO THARCARI I KNO AN LATARE THAI DONNO SIGOF I
KA_Gulbarga_Kave59279_1158100000_KTGEV_317661.wav,MADEWEMAN TO PUTATITRADERI A JUVA GLASISTAGI BUNDABIGRIAL O LOCONTERY CHO CUA GEORGITARY YEDERANDERA MADOMA GRES ALETANDON AS AN AREDY MARDITARY TONDROVADONTOA DECORATION MARDARY A GUAGELATABOLODORO HARMONYAMADO BY SORTALARIDY ANATE
WB_Jalpaigu_Tani06875_1611410000_CGKDZO_8774.wav,ID I PIMOY THE JACKYANRAPICOCK BULLET ACHIS AMADE ZATIO FACHIMOO O MO PPI JUNGULE RO TOACI MANQICU TALPALADU CUDE BUCHIAZSE TO IT A TAMUSE
KA_Mysore_92665542_1524000000_DDIAT_238795.wav,NO DON MANT ANOTHIN ON THEN OMAN TAN THE WAY WOMAN BA TEMAN ELI CAN CAENTE TEB YOUARE YO WOMAN FO LIMANIN BANKA LE TAT BAA THE OLD WAY BANKA LATA BANKALA LANA I MAN WOS TO MA THE IN HARIAN A JU ITE ONDER WORK A YER LININ YANA SETE THIR MAN IND E NE SE O THE INVAK IN MA LAVYTE TIT DO O TE THE NORTHMAN PAA NA IN RESMANA BODLE
